,NET_MEAN_H0_DEATH,OFF_MEAN_H0_DEATH,DEF_MEAN_H0_DEATH,id,abbreviation_x,W_x,L_x,OFFRTG_x,DEFRTG_x,NETRTG_x,W_PCT
0,3.5841939449310303,1.9231527249018352,2.386498806377252,1610612737,ATL,22,27,115.2,117.8,-2.6,0.4489795918367347
1,2.965598290616816,2.448827022855932,1.2731158895926042,1610612738,BOS,38,12,118.2,109.0,9.1,0.76
2,2.9831443428993225,2.211224769552549,1.5560370633999507,1610612739,CLE,31,16,113.5,108.0,5.5,0.6595744680851063
3,2.86653786439162,1.965983821795537,1.7663049697875977,1610612740,NOP,28,21,115.2,111.0,4.2,0.5714285714285714
4,2.7099430918693543,1.6252550303936004,1.7929287731647492,1610612741,CHI,23,27,111.3,112.2,-0.9,0.46
5,3.3383983373641968,2.0990533576561856,2.0258302367650547,1610612742,DAL,26,23,115.2,115.5,-0.3,0.5306122448979592
6,2.637470613826405,1.9675671837546609,1.465308427810669,1610612743,DEN,35,16,115.7,112.3,3.4,0.6862745098039216
7,3.009247458898104,2.375221454180204,1.4684280970921884,1610612744,GSW,21,25,115.1,115.0,0.1,0.45652173913043476
8,2.731922301379117,2.1202412952076304,1.35614797743884,1610612745,HOU,23,26,110.8,109.6,1.2,0.46938775510204084
9,2.6685511271158853,1.8158487180868785,1.4257646103700001,1610612746,LAC,33,15,118.0,110.8,7.2,0.6875
10,3.0664865237015944,2.0664730163720937,1.6791294583907495,1610612747,LAL,26,25,111.7,112.5,-0.9,0.5098039215686274
11,2.987319755554199,2.0065290649731953,1.6262210607528687,1610612748,MIA,26,24,111.1,111.7,-0.7,0.52
12,2.909898887981068,2.1219440590251577,1.3832199790261008,1610612749,MIL,33,17,118.2,114.2,4.0,0.66
13,2.8892107963562013,2.160909575223923,1.501808762550354,1610612750,MIN,35,15,112.4,105.9,6.5,0.7
14,3.108663479487101,2.308958500623703,1.6815201193094254,1610612751,BKN,20,28,113.0,114.2,-1.2,0.4166666666666667
15,2.997364640235901,2.6023307740688324,1.362875607880679,1610612752,NYK,32,18,114.8,110.6,4.2,0.64
16,2.8882947683334352,1.7995619217554728,1.8755730112393698,1610612753,ORL,27,23,110.2,109.0,1.2,0.54
17,2.7134154041608176,2.0853196332852044,1.2924328794082005,1610612754,IND,28,23,117.9,116.7,1.1,0.5490196078431373
18,3.2159223648218007,2.4698805717321544,1.5166737345548778,1610612755,PHI,30,18,116.7,111.4,5.3,0.625
19,2.5207163265773227,1.565554446407727,1.4093219893319267,1610612756,PHX,29,21,115.8,112.8,2.9,0.58
20,2.600718100865682,2.231052452867681,1.1577490915854771,1610612757,POR,15,35,106.1,114.7,-8.6,0.3
21,2.537233060056513,2.069237719882618,1.1211599057370967,1610612758,SAC,29,19,114.2,114.0,0.2,0.6041666666666666
22,2.4114929896134596,1.804373589845804,1.2033126033269441,1610612759,SAS,10,40,107.4,116.0,-8.6,0.2
23,3.535360276699066,2.2136856416861215,2.1951839129130044,1610612760,OKC,35,15,117.7,109.2,8.5,0.7
24,3.0775864919026694,2.2221237818400064,1.6206764827171962,1610612761,TOR,17,32,112.5,114.7,-2.2,0.3469387755102041
25,3.297326405843099,2.310869644085566,1.879325990875562,1610612762,UTA,25,26,113.2,115.9,-2.7,0.49019607843137253
26,2.7633678992589314,1.9905785918235779,1.5038929382960002,1610612763,MEM,18,32,104.6,111.2,-6.6,0.36
27,2.440670208497481,1.8657658967104824,1.0471614314751192,1610612764,WAS,9,40,109.4,117.5,-8.1,0.1836734693877551
28,2.6284672506153584,1.9118733676150441,1.3406066950410604,1610612765,DET,6,43,109.1,118.4,-9.2,0.12244897959183673
29,2.805096910550044,2.2061326687152567,1.1905629955805266,1610612766,CHA,10,38,107.6,118.9,-11.3,0.20833333333333334
